"Index Name","Date","P/E","P/B","Div Yield %"
"NIFTY 50","13 Jan 2015","21.21","3.50","1.27"
"NIFTY 50","12 Jan 2015","21.27","3.51","1.27"
"NIFTY 50","09 Jan 2015","21.16","3.49","1.27"
"NIFTY 50","08 Jan 2015","21.04","3.47","1.28"
"NIFTY 50","07 Jan 2015","20.70","3.41","1.30"
"NIFTY 50","06 Jan 2015","20.76","3.42","1.30"
"NIFTY 50","05 Jan 2015","21.40","3.53","1.26"
"NIFTY 50","02 Jan 2015","21.45","3.54","1.26"
"NIFTY 50","01 Jan 2015","21.16","3.49","1.27"
"NIFTY 50","31 Dec 2014","21.16","3.49","1.27"
"NIFTY 50","30 Dec 2014","21.07","3.48","1.28"
"NIFTY 50","29 Dec 2014","21.07","3.47","1.28"
"NIFTY 50","26 Dec 2014","20.95","3.46","1.29"
"NIFTY 50","24 Dec 2014","20.88","3.45","1.29"
"NIFTY 50","23 Dec 2014","21.12","3.49","1.28"
"NIFTY 50","22 Dec 2014","21.27","3.52","1.27"
"NIFTY 50","19 Dec 2014","21.01","3.48","1.29"
"NIFTY 50","18 Dec 2014","20.85","3.45","1.30"
"NIFTY 50","17 Dec 2014","20.51","3.39","1.32"
"NIFTY 50","16 Dec 2014","20.61","3.41","1.31"
"NIFTY 50","15 Dec 2014","21.00","3.47","1.29"
"NIFTY 50","12 Dec 2014","21.01","3.47","1.29"
"NIFTY 50","11 Dec 2014","21.19","3.50","1.27"
"NIFTY 50","10 Dec 2014","21.35","3.53","1.27"
"NIFTY 50","09 Dec 2014","21.31","3.52","1.27"
"NIFTY 50","08 Dec 2014","21.56","3.57","1.25"
"NIFTY 50","05 Dec 2014","21.81","3.61","1.24"
"NIFTY 50","04 Dec 2014","21.87","3.62","1.23"
"NIFTY 50","03 Dec 2014","21.81","3.61","1.24"
"NIFTY 50","02 Dec 2014","21.77","3.60","1.24"
"NIFTY 50","01 Dec 2014","21.85","3.61","1.24"
"NIFTY 50","28 Nov 2014","21.94","3.63","1.23"
"NIFTY 50","27 Nov 2014","21.70","3.59","1.25"
"NIFTY 50","26 Nov 2014","21.65","3.58","1.25"
"NIFTY 50","25 Nov 2014","21.61","3.57","1.25"
"NIFTY 50","24 Nov 2014","21.78","3.60","1.24"
"NIFTY 50","21 Nov 2014","21.70","3.58","1.25"
"NIFTY 50","20 Nov 2014","21.51","3.55","1.26"
"NIFTY 50","19 Nov 2014","21.33","3.54","1.26"
"NIFTY 50","18 Nov 2014","21.47","3.56","1.26"
"NIFTY 50","17 Nov 2014","21.45","3.56","1.25"
"NIFTY 50","14 Nov 2014","21.35","3.54","1.26"
"NIFTY 50","13 Nov 2014","21.26","3.53","1.27"
"NIFTY 50","12 Nov 2014","21.33","3.54","1.26"
"NIFTY 50","11 Nov 2014","21.29","3.53","1.27"
"NIFTY 50","10 Nov 2014","21.24","3.52","1.27"
"NIFTY 50","07 Nov 2014","21.31","3.52","1.27"
"NIFTY 50","05 Nov 2014","21.54","3.52","1.27"
"NIFTY 50","03 Nov 2014","21.58","3.51","1.27"
"NIFTY 50","31 Oct 2014","21.58","3.51","1.27"
"NIFTY 50","30 Oct 2014","21.16","3.46","1.29"
"NIFTY 50","29 Oct 2014","20.92","3.43","1.31"
"NIFTY 50","28 Oct 2014","20.75","3.40","1.32"
"NIFTY 50","27 Oct 2014","20.64","3.39","1.32"
"NIFTY 50","23 Oct 2014","20.70","3.40","1.32"
"NIFTY 50","22 Oct 2014","20.65","3.39","1.32"
"NIFTY 50","21 Oct 2014","20.53","3.36","1.33"
"NIFTY 50","20 Oct 2014","20.47","3.34","1.34"
"NIFTY 50","17 Oct 2014","20.21","3.30","1.36"
"NIFTY 50","16 Oct 2014","20.13","3.28","1.36"
"NIFTY 50","14 Oct 2014","20.41","3.33","1.34"
"NIFTY 50","13 Oct 2014","20.47","3.34","1.34"
"NIFTY 50","10 Oct 2014","20.55","3.33","1.35"
"NIFTY 50","09 Oct 2014","20.81","3.37","1.33"
"NIFTY 50","08 Oct 2014","20.50","3.34","1.34"
"NIFTY 50","07 Oct 2014","20.53","3.36","1.34"
"NIFTY 50","01 Oct 2014","20.77","3.40","1.32"
"NIFTY 50","30 Sep 2014","20.82","3.43","1.31"
"NIFTY 50","29 Sep 2014","20.81","3.44","1.32"
"NIFTY 50","26 Sep 2014","20.83","3.45","1.31"
"NIFTY 50","25 Sep 2014","20.68","3.43","1.33"
"NIFTY 50","24 Sep 2014","20.92","3.48","1.31"
"NIFTY 50","23 Sep 2014","20.96","3.50","1.27"
"NIFTY 50","22 Sep 2014","21.30","3.56","1.25"
"NIFTY 50","19 Sep 2014","21.23","3.55","1.25"
"NIFTY 50","18 Sep 2014","21.58","3.53","1.25"
"NIFTY 50","17 Sep 2014","21.21","3.47","1.27"
"NIFTY 50","16 Sep 2014","21.09","3.45","1.28"
"NIFTY 50","15 Sep 2014","21.38","3.50","1.26"
"NIFTY 50","12 Sep 2014","21.55","3.53","1.25"
"NIFTY 50","11 Sep 2014","21.50","3.52","1.25"
"NIFTY 50","10 Sep 2014","21.52","3.52","1.25"
"NIFTY 50","09 Sep 2014","21.68","3.55","1.24"
"NIFTY 50","08 Sep 2014","21.73","3.56","1.24"
"NIFTY 50","05 Sep 2014","21.15","3.52","1.25"
"NIFTY 50","04 Sep 2014","21.17","3.52","1.25"
"NIFTY 50","03 Sep 2014","21.22","3.53","1.25"
"NIFTY 50","02 Sep 2014","21.14","3.52","1.25"
"NIFTY 50","01 Sep 2014","20.99","3.49","1.26"
"NIFTY 50","28 Aug 2014","20.80","3.46","1.27"
"NIFTY 50","27 Aug 2014","20.75","3.45","1.28"
"NIFTY 50","26 Aug 2014","20.67","3.44","1.28"
"NIFTY 50","25 Aug 2014","20.67","3.44","1.28"
"NIFTY 50","22 Aug 2014","20.69","3.44","1.28"
"NIFTY 50","21 Aug 2014","20.63","3.43","1.29"
"NIFTY 50","20 Aug 2014","20.58","3.43","1.29"
"NIFTY 50","19 Aug 2014","20.63","3.44","1.28"
"NIFTY 50","18 Aug 2014","20.57","3.43","1.29"
"NIFTY 50","14 Aug 2014","20.45","3.39","1.30"
"NIFTY 50","13 Aug 2014","20.31","3.37","1.31"
"NIFTY 50","12 Aug 2014","20.26","3.36","1.31"
"NIFTY 50","11 Aug 2014","20.00","3.32","1.33"
"NIFTY 50","08 Aug 2014","19.93","3.29","1.34"
"NIFTY 50","07 Aug 2014","20.14","3.35","1.32"
"NIFTY 50","06 Aug 2014","20.20","3.40","1.32"
"NIFTY 50","05 Aug 2014","20.43","3.48","1.30"
"NIFTY 50","04 Aug 2014","20.26","3.46","1.31"
"NIFTY 50","01 Aug 2014","20.05","3.42","1.32"
"NIFTY 50","31 Jul 2014","20.56","3.48","1.30"
"NIFTY 50","30 Jul 2014","20.78","3.54","1.27"
"NIFTY 50","28 Jul 2014","20.66","3.53","1.27"
"NIFTY 50","25 Jul 2014","20.79","3.55","1.26"
"NIFTY 50","24 Jul 2014","20.92","3.57","1.25"
"NIFTY 50","23 Jul 2014","20.82","3.56","1.26"
"NIFTY 50","22 Jul 2014","20.78","3.54","1.26"
"NIFTY 50","21 Jul 2014","20.58","3.51","1.28"
"NIFTY 50","18 Jul 2014","20.60","3.50","1.28"
"NIFTY 50","17 Jul 2014","20.62","3.49","1.28"
"NIFTY 50","16 Jul 2014","20.57","3.48","1.29"
"NIFTY 50","15 Jul 2014","20.31","3.44","1.30"
"NIFTY 50","14 Jul 2014","20.12","3.41","1.31"
"NIFTY 50","11 Jul 2014","20.12","3.41","1.31"
"NIFTY 50","10 Jul 2014","20.48","3.46","1.30"
"NIFTY 50","09 Jul 2014","20.54","3.46","1.29"
"NIFTY 50","08 Jul 2014","20.64","3.48","1.29"
"NIFTY 50","07 Jul 2014","21.08","3.56","1.26"
"NIFTY 50","04 Jul 2014","20.99","3.54","1.26"
"NIFTY 50","03 Jul 2014","20.93","3.52","1.27"
"NIFTY 50","02 Jul 2014","20.96","3.53","1.27"
"NIFTY 50","01 Jul 2014","20.71","3.49","1.28"
"NIFTY 50","30 Jun 2014","20.65","3.48","1.29"
"NIFTY 50","27 Jun 2014","20.37","3.43","1.31"
"NIFTY 50","26 Jun 2014","20.33","3.42","1.31"
"NIFTY 50","25 Jun 2014","20.53","3.46","1.29"
"NIFTY 50","24 Jun 2014","20.56","3.46","1.29"
"NIFTY 50","23 Jun 2014","20.33","3.42","1.31"
"NIFTY 50","20 Jun 2014","20.38","3.43","1.30"
"NIFTY 50","19 Jun 2014","20.52","3.44","1.30"
"NIFTY 50","18 Jun 2014","20.56","3.45","1.30"
"NIFTY 50","17 Jun 2014","20.76","3.48","1.28"
"NIFTY 50","16 Jun 2014","20.53","3.52","1.28"
"NIFTY 50","13 Jun 2014","20.55","3.52","1.28"
"NIFTY 50","12 Jun 2014","20.84","3.58","1.28"
"NIFTY 50","11 Jun 2014","20.78","3.56","1.28"
"NIFTY 50","10 Jun 2014","20.86","3.62","1.26"
"NIFTY 50","09 Jun 2014","20.85","3.62","1.26"
"NIFTY 50","06 Jun 2014","20.75","3.60","1.28"
"NIFTY 50","05 Jun 2014","20.60","3.55","1.29"
"NIFTY 50","04 Jun 2014","20.42","3.52","1.31"
"NIFTY 50","03 Jun 2014","20.46","3.52","1.30"
"NIFTY 50","02 Jun 2014","20.27","3.50","1.31"
"NIFTY 50","30 May 2014","19.82","3.43","1.34"
"NIFTY 50","29 May 2014","19.79","3.44","1.34"
"NIFTY 50","28 May 2014","20.22","3.48","1.32"
"NIFTY 50","27 May 2014","20.21","3.48","1.32"
"NIFTY 50","26 May 2014","20.32","3.49","1.31"
"NIFTY 50","23 May 2014","20.39","3.50","1.31"
"NIFTY 50","22 May 2014","20.14","3.46","1.33"
"NIFTY 50","21 May 2014","20.07","3.44","1.33"
"NIFTY 50","20 May 2014","20.21","3.46","1.33"
"NIFTY 50","19 May 2014","20.15","3.45","1.33"
"NIFTY 50","16 May 2014","19.93","3.42","1.34"
"NIFTY 50","15 May 2014","19.71","3.38","1.36"
"NIFTY 50","14 May 2014","19.67","3.38","1.36"
"NIFTY 50","13 May 2014","19.67","3.38","1.36"
"NIFTY 50","12 May 2014","19.47","3.33","1.38"
"NIFTY 50","09 May 2014","19.10","3.26","1.41"
"NIFTY 50","08 May 2014","18.52","3.17","1.45"
"NIFTY 50","07 May 2014","18.56","3.18","1.43"
"NIFTY 50","06 May 2014","18.74","3.21","1.41"
"NIFTY 50","05 May 2014","18.69","3.21","1.42"
"NIFTY 50","02 May 2014","18.72","3.20","1.42"
"NIFTY 50","30 Apr 2014","18.79","3.23","1.37"
"NIFTY 50","29 Apr 2014","18.88","3.24","1.37"
"NIFTY 50","28 Apr 2014","18.98","3.26","1.36"
"NIFTY 50","25 Apr 2014","19.04","3.27","1.36"
"NIFTY 50","23 Apr 2014","19.20","3.30","1.34"
"NIFTY 50","22 Apr 2014","19.13","3.29","1.35"
"NIFTY 50","21 Apr 2014","19.14","3.29","1.35"
"NIFTY 50","17 Apr 2014","19.04","3.27","1.36"
"NIFTY 50","16 Apr 2014","18.79","3.22","1.38"
"NIFTY 50","15 Apr 2014","18.95","3.25","1.37"
"NIFTY 50","11 Apr 2014","19.07","3.27","1.36"
"NIFTY 50","10 Apr 2014","19.12","3.28","1.35"
"NIFTY 50","09 Apr 2014","19.12","3.28","1.35"
"NIFTY 50","07 Apr 2014","18.84","3.23","1.37"
"NIFTY 50","04 Apr 2014","18.84","3.23","1.37"
"NIFTY 50","03 Apr 2014","18.95","3.25","1.37"
"NIFTY 50","02 Apr 2014","19.00","3.26","1.36"
"NIFTY 50","01 Apr 2014","18.91","3.24","1.37"
